Memory in node 1: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 
test: medium_latency_0
timing: 11871332
timing: 11246097
timing: 9996621
timing: 11249572
timing: 11871467
timing: 11871967
timing: 11871980
timing: 12498900
timing: 11873104
timing: 11873312
timing: 7498738
timing: 11872193
timing: 11246739
timing: 13751469
timing: 11871724
timing: 13126403
timing: 14369331
timing: 9999092
timing: 10624102
timing: 11246644
timing: 11873665
timing: 14999599
timing: 12496368
timing: 9996343
timing: 10622128
timing: 7499251
timing: 12499572
timing: 13121763
timing: 10621887
timing: 8750784
timing: 13745499
timing: 8745934
timing: 9372147
timing: 11247234
timing: 10621391
timing: 10622157
timing: 12497003
timing: 9997006
timing: 14371990
timing: 13122066
timing: 14374513
timing: 11247091
timing: 13121699
timing: 14372311
timing: 8748579
timing: 13120948
timing: 13749424
timing: 13121501
timing: 9374633
timing: 13121629
timing: 10624626
timing: 11871594
timing: 9374137
timing: 8749413
timing: 14370582
timing: 11246318
timing: 13121917
timing: 11246988
timing: 11871856
timing: 13121879
timing: 11871993
timing: 8122179
timing: 13124002
timing: 11871892
timing: 11247158
timing: 10622023
timing: 13746663
timing: 12497320
timing: 8746105
timing: 15622200
timing: 12499386
timing: 13746924
timing: 11871834
timing: 12497180
timing: 11246646
timing: 11871737
timing: 8752151
timing: 9371834
timing: 8122178
timing: 11871690
timing: 10624919
timing: 12496721
timing: 12496914
timing: 9374078
timing: 9372260
timing: 13749476
timing: 16247109
timing: 13121726
timing: 12502039
timing: 11247070
timing: 9371917
timing: 11872014
timing: 15622044
timing: 14372023
timing: 9996779
timing: 14999664
timing: 11247088
timing: 9374344
timing: 11249452
timing: 9999327
timing: 9374523
timing: 9999325
timing: 9374452
timing: 12499481
timing: 11874352
timing: 14999460
timing: 14999485
timing: 9996954
timing: 10622214
timing: 9371949
timing: 13124339
timing: 16249422
timing: 13124480
timing: 11249314
timing: 11874518
timing: 11874430
timing: 13749403
timing: 8749486
timing: 11249549
timing: 14374336
timing: 12499383
timing: 11874501
timing: 15624520
timing: 17499376
timing: 13124447
timing: 11874477
timing: 13124378
timing: 15624298
timing: 9374808
timing: 12499177
timing: 13124705
timing: 13749097
timing: 11249866
timing: 11249089
timing: 8124518
timing: 8746897
timing: 11874398
timing: 11874535
timing: 12496955
timing: 12499568
timing: 12499374
timing: 12499367
timing: 13749470
timing: 11874510
timing: 11874502
timing: 13749238
timing: 13124524
timing: 11874713
timing: 12498947
timing: 11249356
timing: 10624656
timing: 11249503
timing: 9999382
timing: 14999557
timing: 11874839
timing: 11873887
timing: 9372030
timing: 14149073
timing: 6472149
timing: 12497113
timing: 11872078
timing: 11246847
timing: 11247228
timing: 14996751
timing: 8746899
timing: 11871976
timing: 12497080
timing: 10624330
timing: 13749572
timing: 11249260
timing: 10624413
timing: 8749528
timing: 11249380
timing: 13124322
timing: 11874657
timing: 10624586
timing: 12499278
timing: 14999809
timing: 16249029
timing: 9999637
timing: 7499337
timing: 11872282
timing: 15621464
timing: 13124784
timing: 9372412
timing: 9999133
timing: 11873267
timing: 11249126
timing: 11871002
timing: 8121415
timing: 14998975
timing: 13123891
timing: 13126561
timing: 11248225
timing: 12495446
timing: 14996675
timing: 11874338
timing: 9996347
timing: 12499363
timing: 9999007
timing: 8749515
timing: 11249246
timing: 9999272
timing: 11249594
timing: 9999262
timing: 9999377
timing: 12499589
timing: 11249577
timing: 14999240
timing: 8749451
timing: 11874407
timing: 10624513
timing: 13124468
timing: 9999182
timing: 13122067
timing: 11874484
timing: 11249346
timing: 11874560
timing: 12499523
timing: 11874305
timing: 8749773
timing: 11873975
timing: 13124504
timing: 14374440
timing: 13124838
timing: 9999083
timing: 9374292
timing: 12499783
timing: 9374321
timing: 15624432
timing: 12499378
timing: 11874425
timing: 13124446
timing: 12499487
timing: 14374469
timing: 12499403
timing: 13749421
timing: 13124525
timing: 12499373
timing: 9999520
timing: 11874519
timing: 14999429
timing: 12499248
timing: 12499522
timing: 12499452
timing: 14374471
timing: 13747010
timing: 8749378
timing: 9996948
timing: 11249626
timing: 11249415
timing: 10624469
timing: 12499396
timing: 7499578
timing: 13123463
timing: 14372465
timing: 9999388
timing: 14374455
